,Player,Nation,Pos,Squad,Comp,Age,Born,MP,MP,MP,MP,Starts,Min,90s,W,D,L,CS,CS%,GA,GA90,SoTA,Saves,Save%,PSxG,PSxG+/-,PSxG/SoT,PKA,PKsv,PKm,Cmp%,Att (GK),Thr,Launch%,AvgLen,Stp,Stp%,AvgDist
474,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,23-087,2001.0,19,19,19,19,19,1710,19.0,8.0,8.0,3.0,7.0,36.8,19.0,1.0,72.0,53.0,76.4,22.5,3.5,0.29,2.0,0.0,0.0,40.7,531.0,67.0,29.4,30.5,12.0,5.8,13.7
477,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34-311,1990.0,1,1,1,1,1,90,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,6.0,3.0,50.0,2.5,-0.5,0.43,0.0,0.0,0.0,18.8,41.0,5.0,31.7,33.9,2.0,9.5,16.3
488,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35-285,1989.0,19,19,19,19,19,1679,18.7,6.0,5.0,8.0,3.0,15.8,29.0,1.55,93.0,65.0,73.1,30.8,3.8,0.29,4.0,1.0,1.0,28.4,611.0,100.0,35.2,32.6,8.0,2.7,13.8
516,Diego Conde,es ESP,GK,Villarreal,es La Liga,26-096,1998.0,15,15,15,15,15,1332,14.8,7.0,5.0,3.0,1.0,6.7,25.0,1.69,66.0,42.0,66.7,18.3,-5.7,0.24,3.0,0.0,1.0,37.1,374.0,61.0,25.7,29.8,14.0,6.2,11.2
537,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25-304,1999.0,1,1,1,1,1,90,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,6.0,85.7,0.9,-0.1,0.13,0.0,0.0,0.0,25.0,34.0,3.0,26.5,31.1,1.0,4.5,11.7
545,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32-266,1992.0,18,18,18,18,18,1620,18.0,13.0,4.0,1.0,7.0,38.9,16.0,0.89,52.0,37.0,69.2,15.3,0.3,0.31,0.0,0.0,0.0,27.1,563.0,95.0,14.0,26.3,10.0,5.3,11.2
565,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26-311,1998.0,4,4,4,4,4,360,4.0,3.0,0.0,1.0,2.0,50.0,2.0,0.5,15.0,13.0,86.7,3.7,1.7,0.28,0.0,0.0,0.0,25.3,118.0,10.0,39.0,34.1,1.0,1.1,15.0
599,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,23-365,2001.0,2,2,2,2,2,180,2.0,0.0,1.0,1.0,1.0,50.0,3.0,1.5,9.0,5.0,77.8,3.5,0.5,0.22,1.0,1.0,0.0,25.8,46.0,5.0,45.7,40.3,3.0,7.9,13.1
615,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30-300,1994.0,17,17,17,17,17,1530,17.0,4.0,0.0,13.0,3.0,17.6,36.0,2.12,91.0,54.0,62.6,37.4,1.4,0.4,2.0,1.0,0.0,36.2,383.0,68.0,29.8,31.4,12.0,4.6,11.9
618,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27-189,1997.0,17,17,17,17,17,1530,17.0,6.0,10.0,1.0,8.0,47.1,16.0,0.94,45.0,29.0,73.3,13.0,-3.0,0.21,4.0,0.0,0.0,35.6,428.0,59.0,26.6,30.5,19.0,8.3,10.8
646,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31-038,1993.0,4,4,4,4,4,360,4.0,0.0,2.0,2.0,0.0,0.0,6.0,1.5,12.0,6.0,58.3,4.5,-1.5,0.29,1.0,0.0,1.0,20.8,113.0,25.0,49.6,40.5,3.0,5.9,25.7
654,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,25-077,1999.0,19,19,19,19,19,1710,19.0,5.0,7.0,7.0,3.0,15.8,27.0,1.42,97.0,69.0,74.2,32.8,5.8,0.32,2.0,1.0,0.0,33.6,598.0,75.0,34.4,33.2,13.0,4.9,13.6
661,Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,33-008,1992.0,16,16,16,16,16,1440,16.0,4.0,6.0,6.0,6.0,37.5,23.0,1.44,78.0,56.0,75.6,26.5,4.5,0.3,4.0,0.0,1.0,26.1,398.0,49.0,64.8,47.5,23.0,7.1,14.1
